section_id,course_id,subject_code,catalog_number,instructors,status,available_seats,waitlist_total,capacity,enrolled,instruction_mode,is_asynchronous,section_requisites
,,,,Catherine Woodward,OPEN,,,18,17,,,
,,,,Rachel Hutchins,CLOSED,,,15,15,,,
,,,,Rachel Hutchins,OPEN,,,15,14,,,
,,,,Shuvam Das,CLOSED,,,15,15,,,
,,,,Linwei Ding,CLOSED,,,15,15,,,
,,,,Shreya Singh,CLOSED,,,15,15,,,
,,,,Lance St. Laurent,OPEN,,,15,14,,,
,,,,Bengisu Simsek,CLOSED,,,15,15,,,
,,,,Linwei Ding,CLOSED,,,15,15,,,
,,,,Shuvam Das,OPEN,,,15,14,,,
,,,,Shreya Singh,CLOSED,,,15,15,,,
,,,,Hsuan-I Huang,CLOSED,,,15,15,,,
,,,,Lance St. Laurent,CLOSED,,,15,15,,,
,,,,Bengisu Simsek,CLOSED,,,15,15,,,
,,,,Hsuan-I Huang,CLOSED,,,15,15,,,
,,,,Chang-Ching Su,CLOSED,,,15,15,,,
,,,,Zoe Miller,CLOSED,,,15,15,,,
,,,,Zexuan Lin,OPEN,,,15,14,,,
,,,,Chang-Ching Su,CLOSED,,,15,15,,,
,,,,Rhea Zhu,CLOSED,,,15,15,,,
,,,,Zexuan Lin,OPEN,,,15,14,,,
,,,,Zoe Miller,CLOSED,,,15,15,,,
,,,,Stephanie Chung,CLOSED,,,15,15,,,
,,,,Stephanie Chung,OPEN,,,15,14,,,
,,,,Payton Cushman,OPEN,,,15,13,,,
,,,,Jiwon Park,CLOSED,,,15,15,,,
,,,,Rhea Zhu,OPEN,,,15,14,,,
,,,,Payton Cushman,CLOSED,,,15,15,,,
,,,,Jiwon Park,OPEN,,,15,14,,,
,,,,Jennifer Fandel,CLOSED,,,0,12,,,
,,,,"Sara Kelm,Theo Campbell",CLOSED,,,19,19,,,
,,,,"Sara Kelm,Nicholas Story",CLOSED,,,19,19,,,
,,,,"Sara Kelm,Gengqi Xiao",CLOSED,,,19,19,,,
,,,,"Sara Kelm,Nicholas Story",CLOSED,,,19,19,,,
,,,,"Sara Kelm,Sydney Goggins",CLOSED,,,19,19,,,
,,,,"Sara Kelm,WALI Ullah",CLOSED,,,19,19,,,
,,,,"Josh Kalscheur,Sara Kelm",CLOSED,,,19,19,,,
,,,,"Kate Merz,Sara Kelm",CLOSED,,,19,19,,,
,,,,"Sara Kelm,Caden Holbrook",CLOSED,,,19,19,,,
,,,,"Sara Kelm,Charles Muhumuza",CLOSED,,,19,19,,,
,,,,"Sara Kelm,Dragan Katarina Mikulin",CLOSED,,,19,19,,,
,,,,"Sara Kelm,Benjamin Klug",CLOSED,,,19,19,,,
,,,,"Sara Kelm,Hyorim Joe",CLOSED,,,19,19,,,
,,,,"Sara Kelm,Jagravi Dave",CLOSED,,,19,19,,,
,,,,"Marjorie Rhine,Sara Kelm",CLOSED,,,19,19,,,
,,,,"Sara Kelm,Felix Lecocq",CLOSED,,,19,19,,,
,,,,"Marjorie Rhine,Sara Kelm",CLOSED,,,19,19,,,
,,,,"Sara Kelm,Audrey Gradzewicz",OPEN,,,19,18,,,
