ID,LegacyID,FirstName,LastName,Department,AvgRating,NumRatings,AvgDifficulty,WouldTakeAgainPercent,CleanedFirstName,CleanedLastName,instructors,BestCourseMatch,MatchScore
VGVhY2hlci0yNzM5Mzcz,2739373,Arletta,Frazier,Social Work,4.5,2,2.0,50.0,Arletta,Frazier,Arletta Frazier,,0
VGVhY2hlci0yMjI0MTM0,2224134,Paul,Evans,Engineering,4.0,4,3.8,75.0,Paul,Evans,Paul Evans,Paul Evans,100
VGVhY2hlci0yNjYyMjc3,2662277,Katie,Deaven,Philosophy,4.5,2,4.0,100.0,Katie,Deaven,Katie Deaven,,0
VGVhY2hlci0yNzQzNzgy,2743782,Lisa,Steiner,"German, Nordic & Slavic",4.0,1,2.0,100.0,Lisa,Steiner,Lisa Steiner,,0
VGVhY2hlci04MzM3NTE=,833751,Jane,Koenig,English,3.4,13,3.3,40.0,Jane,Koenig,Jane Koenig,,0
VGVhY2hlci0yNDc0OTE0,2474914,Bilge,Mutlu,Computer Science,3.7,13,3.5,61.5385,Bilge,Mutlu,Bilge Mutlu,Bilge Mutlu,100
VGVhY2hlci0zNTg3MDI=,358702,Araceli,Alonso,Women's Studies,4.3,40,2.1,100.0,Araceli,Alonso,Araceli Alonso,Araceli Alonso,100
VGVhY2hlci0yMTE0MzMz,2114333,Katie,Kornaus,Spanish  Portuguese,2.0,1,3.0,0.0,Katie,Kornaus,Katie Kornaus,,0
VGVhY2hlci0yMDIyMTEw,2022110,Justin,Williams,Biomedical Engineering,5.0,2,3.0,100.0,Justin,Williams,Justin Williams,Justin Williams,100
VGVhY2hlci0zNTc0MzU=,357435,William Nick,Hitchon,Engineering,3.6,40,1.6,16.6667,William Nick,Hitchon,William Nick Hitchon,,0
VGVhY2hlci0xNTIyNjY=,152266,Pete,Anderson,Biology,3.3,351,2.7,66.6667,Pete,Anderson,Pete Anderson,,0
VGVhY2hlci0xMzMwMzkw,1330390,Ivan,Ermakoff,Sociology,4.3,11,2.7,100.0,Ivan,Ermakoff,Ivan Ermakoff,Ivan Ermakoff,100
VGVhY2hlci0yNzMyMjEy,2732212,Xiujuan,Zhang,Business,1.0,1,3.0,0.0,Xiujuan,Zhang,Xiujuan Zhang,,0
VGVhY2hlci0yMDg1OTc1,2085975,Amy,Moser,Genetics,1.0,8,4.4,0.0,Amy,Moser,Amy Moser,,0
VGVhY2hlci0xODAyNDM0,1802434,Kerry,Martin,Biology,3.6,6,3.7,60.0,Kerry,Martin,Kerry Martin,Kerry Martin,100
VGVhY2hlci0xODUyMjc1,1852275,Daniel,Erman,Mathematics,4.8,118,3.2,100.0,Daniel,Erman,Daniel Erman,Daniel Matson,80
VGVhY2hlci0yMTI2MzY4,2126368,Sarah,Deppe,Art,3.3,2,3.5,0.0,Sarah,Deppe,Sarah Deppe,,0
VGVhY2hlci0yNzMxODYy,2731862,Carolee,Francis,Ethnic Studies,5.0,1,1.0,100.0,Carolee,Francis,Carolee Francis,Carolee Dodge Francis,83
VGVhY2hlci0yNTE2MjMy,2516232,John,Giblin,Spanish & Portuguese,3.0,3,2.7,33.3333,John,Giblin,John Giblin,,0
VGVhY2hlci0yMjg1NDk3,2285497,Gwyn,Pauley,Economics,4.1,20,3.1,85.0,Gwyn,Pauley,Gwyn Pauley,,0
VGVhY2hlci0yNjU5OTIz,2659923,Zhenhuan Reed,Lei,Political Science,2.0,2,3.5,0.0,Zhenhuan Reed,Lei,Zhenhuan Reed Lei,,0
VGVhY2hlci0yMDkxNDkz,2091493,Rick,Curry,Business,4.9,7,2.9,100.0,Rick,Curry,Rick Curry,,0
VGVhY2hlci0yMzc3MzU4,2377358,Oguzhan,Alagoz,Engineering,4.5,2,2.0,100.0,Oguzhan,Alagoz,Oguzhan Alagoz,Oguzhan Alagoz,100
VGVhY2hlci0xNjY5NTUz,1669553,Nevine,El Nossery,Languages,3.0,2,3.5,0.0,Nevine,El Nossery,Nevine El Nossery,Nevine El Nossery,97
VGVhY2hlci0yMzIxMDY5,2321069,Nicole,Werner,Engineering,1.0,1,2.0,0.0,Nicole,Werner,Nicole Werner,Nicole Perna,80
VGVhY2hlci0yNjcwMDYy,2670062,Jared,Schmidt,Literature,5.0,4,1.5,100.0,Jared,Schmidt,Jared Schmidt,J.R. Schmidt,83
VGVhY2hlci0yMTE3OTE1,2117915,Fei,Men,Consumer Science,3.0,2,4.0,0.0,Fei,Men,Fei Men,,0
VGVhY2hlci0yNjgyNzMy,2682732,Paul,Stoy,Engineering,5.0,4,2.8,100.0,Paul,Stoy,Paul Stoy,Paul Stoy,100
VGVhY2hlci0yNDE2Njc4,2416678,patrick,barrett,Political Science,4.7,3,3.3,100.0,patrick,barrett,patrick barrett,,0
VGVhY2hlci0yMzU3NTgw,2357580,Gabriele,Meyer,Mathematics,1.4,35,3.4,5.7143,Gabriele,Meyer,Gabriele Meyer,,0
VGVhY2hlci0yNDU2NTcx,2456571,Omer,Mermelstein,Mathematics,2.3,32,4.0,31.25,Omer,Mermelstein,Omer Mermelstein,,0
VGVhY2hlci0xOTI5NzQw,1929740,Lynne,Prost,Science,4.5,12,2.8,100.0,Lynne,Prost,Lynne Prost,,0
VGVhY2hlci03NTI5ODk=,752989,Mitch,Tyler,Engineering,1.7,5,3.2,25.0,Mitch,Tyler,Mitch Tyler,,0
VGVhY2hlci0yNDM3MTU1,2437155,Shaosai,Huang,Mathematics,1.5,16,3.4,12.5,Shaosai,Huang,Shaosai Huang,,0
VGVhY2hlci03NzgzMDM=,778303,Maria,Lepowsky,Anthropology,2.5,34,2.9,80.0,Maria,Lepowsky,Maria Lepowsky,Maria Lepowsky,100
VGVhY2hlci0yMDcxNjg2,2071686,Andrea,Arpaci-Dusseau,Computer Science,3.8,13,3.9,100.0,Andrea,Arpaci-Dusseau,Andrea Arpaci-Dusseau,Andrea Arpaci-Dusseau,100
VGVhY2hlci0yMDg5NjEw,2089610,Vlad,Dima,Languages,4.7,13,2.5,100.0,Vlad,Dima,Vlad Dima,,0
VGVhY2hlci0yNTA3MDQz,2507043,Bianca,Baldridge,Education,4.7,3,1.3,100.0,Bianca,Baldridge,Bianca Baldridge,,0
VGVhY2hlci0yNzE0MDI3,2714027,Teri,Boundy,Geology,5.0,1,3.0,100.0,Teri,Boundy,Teri Boundy,,0
VGVhY2hlci0yNTU1MjQ0,2555244,Jose,Villagran,Ethnic Studies,4.1,7,2.6,85.7143,Jose,Villagran,Jose Villagran,,0
VGVhY2hlci0xMzk4NDIx,1398421,Amanda,McQueen,Communication,4.1,5,2.0,75.0,Amanda,McQueen,Amanda McQueen,,0
VGVhY2hlci0yNjc5NjYz,2679663,Elena,Hight,Social Science,4.8,5,2.4,100.0,Elena,Hight,Elena Hight,,0
